id;saldo_ant;quantidade;data;produto_id;entrada
144;44;1;2019-01-05;72;0
145;1;50;2019-12-26;73;1
146;24;23;2019-05-16;73;0
147;56;58;2019-07-22;74;1
148;114;42;2019-10-16;74;0
149;41;20;2019-10-10;75;1
150;94;53;2019-02-22;75;0
151;70;82;2019-11-18;76;1
152;73;3;2019-02-23;76;0
153;17;24;2019-12-22;77;1
154;56;39;2019-01-25;77;0
155;34;53;2019-03-28;78;1
156;87;5;2019-06-02;78;0
157;45;29;2019-09-02;79;1
158;52;7;2019-02-09;79;0
159;21;86;2019-07-22;80;1
160;32;11;2019-05-21;80;0
161;30;44;2019-06-13;81;1
162;74;24;2019-12-01;81;0
163;19;46;2019-12-27;82;1
164;57;38;2019-01-04;82;0
165;23;6;2019-09-18;83;1
166;49;26;2019-05-17;83;0
167;48;3;2019-07-21;84;1
168;52;4;2019-03-16;84;0
169;21;44;2019-01-21;85;1
170;65;3;2019-12-24;85;0
171;41;69;2019-11-28;86;1
172;80;39;2019-08-02;86;0
173;50;31;2019-07-07;87;1
174;66;16;2019-03-21;87;0
175;3;22;2019-10-15;88;1
176;13;10;2019-06-22;88;0
177;10;90;2019-05-04;89;1
178;100;2;2019-06-21;89;0
179;7;70;2019-03-28;90;1
180;77;3;2019-12-22;90;0
181;0;12;2019-10-04;91;1
182;1;1;2019-01-23;91;0
183;39;14;2019-09-11;92;1
184;53;2;2019-12-02;92;0
185;40;37;2019-12-10;93;1
186;67;27;2019-04-11;93;0
187;42;13;2019-11-03;94;1
188;64;22;2019-08-02;94;0
189;72;42;2019-02-26;95;1
190;114;11;2019-09-27;95;0
191;42;55;2019-09-10;96;1
192;97;1;2019-09-26;96;0
193;45;32;2019-03-15;97;1
194;57;12;2019-01-11;97;0
195;4;49;2019-11-19;98;1
196;22;18;2019-05-09;98;0
197;15;49;2019-04-01;99;1
198;16;1;2019-02-21;99;0
199;45;35;2019-04-22;100;1
200;80;10;2019-07-28;100;0
201;57;60;2019-02-27;101;1
202;117;9;2019-10-24;101;0
203;51;37;2019-03-28;102;1
204;88;10;2019-11-13;102;0
205;40;34;2019-04-24;103;1
206;74;14;2019-10-24;103;0
207;7;11;2019-12-21;104;1
208;72;65;2019-01-04;104;0
209;59;52;2019-03-07;105;1
210;111;17;2019-07-20;105;0
211;3;86;2019-10-19;106;1
212;5;2;2019-02-03;106;0
213;43;56;2019-12-22;107;1
214;56;13;2019-08-08;107;0
215;62;79;2019-12-24;108;1
216;94;32;2019-04-19;108;0
217;54;79;2019-06-17;109;1
218;133;1;2019-09-08;109;0
219;6;38;2019-06-03;110;1
220;15;9;2019-02-24;110;0
221;58;8;2019-04-11;111;1
222;66;42;2019-08-14;111;0
223;12;3;2019-12-28;112;1
224;51;39;2019-11-09;112;0
225;83;87;2019-03-28;113;1
226;170;73;2019-07-15;113;0
227;35;67;2019-01-25;114;1
228;102;13;2019-05-27;114;0
229;29;46;2019-11-05;115;1
230;75;22;2019-11-23;115;0
231;32;65;2019-12-27;116;1
232;86;54;2019-12-12;116;0
233;32;25;2019-07-19;117;1
234;68;36;2019-05-20;117;0
235;56;30;2019-11-22;118;1
236;86;26;2019-11-25;118;0
237;5;80;2019-08-25;119;1
238;97;92;2019-08-15;119;0
239;60;81;2019-08-09;120;1
240;141;38;2019-12-13;120;0
241;35;82;2019-12-24;121;1
242;78;43;2019-04-18;121;0
243;89;43;2019-04-07;122;1
244;132;73;2019-04-09;122;0
245;56;50;2019-03-11;123;1
246;106;50;2019-04-17;123;0
247;19;36;2019-07-10;124;1
248;55;2;2019-12-21;124;0
249;73;65;2019-12-16;125;1
250;91;18;2019-08-13;125;0
251;58;32;2019-04-20;126;1
252;90;28;2019-10-23;126;0
253;42;32;2019-07-05;127;1
254;58;16;2019-02-24;127;0
255;42;69;2019-06-08;128;1
256;111;33;2019-10-05;128;0
257;12;62;2019-03-26;129;1
258;50;38;2019-03-15;129;0
259;7;97;2019-11-14;130;1
260;9;2;2019-01-28;130;0
261;6;29;2019-08-09;131;1
262;16;10;2019-04-20;131;0
263;94;54;2019-08-25;132;1
264;148;8;2019-09-19;132;0
265;85;43;2019-01-06;133;1
266;128;5;2019-10-09;133;0
267;58;27;2019-10-18;134;1
268;78;20;2019-02-10;134;0
269;21;44;2019-10-16;135;1
270;42;21;2019-02-28;135;0
271;1;10;2019-12-02;136;1
272;11;1;2019-12-09;136;0
273;89;37;2019-09-28;137;1
274;90;1;2019-04-13;137;0
275;53;47;2019-08-24;138;1
276;100;8;2019-12-10;138;0
277;41;60;2019-10-28;139;1
278;51;10;2019-08-16;139;0
279;15;49;2019-07-16;140;1
280;31;16;2019-06-28;140;0
281;14;14;2019-08-26;141;1
282;22;8;2019-07-13;141;0
283;4;51;2019-11-21;142;1
284;77;73;2019-10-22;142;0
285;31;16;2019-06-26;143;1
286;47;24;2019-07-11;143;0
287;4;36;2019-12-13;144;1
288;14;10;2019-02-18;144;0
289;94;47;2019-07-06;145;1
290;95;1;2019-04-05;145;0
291;46;31;2019-03-21;146;1
292;77;34;2019-05-06;146;0
293;14;74;2019-12-20;147;1
294;56;42;2019-12-19;147;0
295;62;80;2019-02-03;148;1
296;142;27;2019-09-13;148;0
297;25;45;2019-02-26;149;1
298;70;14;2019-11-17;149;0
299;36;29;2019-10-12;150;1
300;83;47;2019-09-12;150;0
301;3;34;2019-03-23;151;1
302;18;15;2019-02-04;151;0
303;99;15;2019-05-28;152;1
304;114;94;2019-10-15;152;0
305;28;94;2019-09-14;153;1
306;42;14;2019-03-26;153;0
307;7;30;2019-05-24;154;1
308;71;64;2019-04-12;154;0
309;57;3;2019-01-09;155;1
310;60;39;2019-12-19;155;0
311;59;32;2019-09-25;156;1
312;79;20;2019-02-27;156;0
313;31;54;2019-01-15;157;1
314;85;7;2019-12-12;157;0
315;8;77;2019-06-22;158;1
316;22;14;2019-02-02;158;0
317;45;14;2019-06-23;159;1
318;59;10;2019-10-20;159;0
319;25;77;2019-04-09;160;1
320;96;71;2019-03-03;160;0
321;86;95;2019-09-15;161;1
322;91;5;2019-06-06;161;0
323;44;23;2019-06-13;162;1
324;67;7;2019-09-05;162;0
325;80;50;2019-02-10;163;1
326;130;23;2019-08-03;163;0
327;34;83;2019-11-24;164;1
328;36;2;2019-03-05;164;0
329;61;35;2019-08-24;165;1
330;96;12;2019-10-05;165;0
331;29;26;2019-06-28;166;1
332;46;17;2019-05-17;166;0
333;33;13;2019-10-24;167;1
334;46;29;2019-12-09;167;0
335;7;74;2019-04-22;168;1
336;71;64;2019-01-20;168;0
337;91;76;2019-07-14;169;1
338;167;73;2019-11-19;169;0
339;100;83;2019-07-08;170;1
340;183;63;2019-08-22;170;0
