id;nm_produto;qtd_estoque;qtd_min;situacao;ativo;categoria_id;unidade_medida_id
71;Predinisona 5mg ;84;2;42.0;1;1;1
72;Pregabalina 75mg;61;2;30.5;1;1;1
73;Proctfis pomada;51;2;25.5;1;1;1
74;Prolopa 25mg;72;2;36.0;1;1;1
75;Prolopa 100mg;61;2;30.5;1;1;1
76;Propionato de clobetazol 0,5mg;152;2;76.0;1;1;1
77;Própolis EXTRATO;41;2;20.5;1;1;1
78;Quetiapina 25 mg;82;2;41.0;1;1;1
79;Quetiapina XR 50 mg;74;2;37.0;1;1;1
80;Risperidona 1mg;107;2;53.5;1;1;1
81;Risperidona 2 mg;50;2;25.0;1;1;1
82;Sebo de carneiro creme;65;2;32.5;1;1;1
83;Secnidazol 1 G;29;2;14.5;1;1;1
84;Seretide 25mcg;51;2;25.5;1;1;1
85;Seretide 250 mcg;62;2;31.0;1;1;1
86;Seringa c/agulha 13*4,5;110;2;55.0;1;1;1
87;Sertralina 50mg ;81;2;40.5;1;1;1
88;Soro fisiológico;25;2;12.5;1;1;1
89;Tandrilax;98;2;49.0;1;1;1
90;Tansulosina 0,4;74;2;37.0;1;1;1
91;Trazodona 50 mg;12;2;6.0;1;1;1
92;Valsartana 80 mg;51;2;25.5;1;1;1
93;vick xarope;77;2;38.5;1;1;1
94;Vitamina D 200UI;55;2;27.5;1;1;1
95;Xingduo XR 5mg;103;2;51.5;1;1;1
96;Achocolatado;96;2;48.0;1;3;6
97;Açúcar;77;60;1.2833333333333334;1;3;2
98;Adoçante;53;20;2.65;1;3;5
99;Água mineral ;64;9;7.111111111111111;1;3;5
100;Amendoim;70;2;35.0;1;3;4
101;Amido de Milho (Maisena);108;10;10.8;1;3;4
102;Arroz;78;70;1.1142857142857143;1;3;2
103;Aveia;60;2;30.0;1;3;4
104;Azeitona;18;2;9.0;1;3;5
105;Batata palha;94;1;94.0;1;3;4
106;Biscoito de Sal;89;16;5.5625;1;3;4
107;Biscoito Doce (4 G);99;3;33.0;1;3;4
108;Biscoito Doce (4 P);141;12;11.75;1;3;4
109;Biscoito Papa Ovo e Polvilho;132;6;22.0;1;3;4
110;Café (250g);44;40;1.1;1;3;4
111;Canjica Branca;24;1;24.0;1;3;4
112;Canjiquinha;15;1;15.0;1;3;4
113;Cereais;97;7;13.857142857142858;1;3;4
114;Chá;89;1;89.0;1;3;5
115;Corante;53;1;53.0;1;3;2
116;Creme de Leite;97;5;19.4;1;3;5
117;Espessante;57;2;28.5;1;3;5
118;Farinha de Mandioca / Farofa;60;6;10.0;1;3;2
119;Farinha de Milho;85;4;21.25;1;3;2
120;Farinha de Trigo;103;4;25.75;1;3;2
121;Feijão;117;62;1.8870967741935485;1;3;2
122;Fermento em Pó;59;2;29.5;1;3;5
123;Fubá;56;9;6.222222222222222;1;3;2
124;Gelatina em Pó;53;6;8.833333333333334;1;3;4
125;Goiabada;138;1;138.0;1;3;5
126;Lasanha;62;1;62.0;1;3;4
127;Leite Condensado;74;5;14.8;1;3;5
128;Leite de 1L;78;90;0.8666666666666667;1;3;3
129;Leite em Pó;74;1;74.0;1;3;7
130;Macarrão (500g);104;24;4.333333333333333;1;3;4
131;Macarrão Cortado;35;5;7.0;1;3;4
132;Massa de Bolo;140;5;28.0;1;3;4
133;Massa de Tomate;123;12;10.25;1;3;6
134;Milho Verde;85;2;42.5;1;3;7
135;Mucilon 230g;65;10;6.5;1;3;4
136;Óleo;10;42;0.23809523809523808;1;3;3
137;Oregano;126;1;126.0;1;3;4
138;Paçoquinha;92;1;92.0;1;3;4
139;Papel Alumínio;101;1;101.0;1;3;4
140;Sal;64;9;7.111111111111111;1;3;2
141;Sal Grosso;28;1;28.0;1;3;2
142;Sardinha;55;2;27.5;1;3;7
143;Suco;23;25;0.92;1;3;3
144;Suplemento;40;15;2.6666666666666665;1;3;7
145;Vinagre;141;2;70.5;1;3;3
146;agua sanitaria galao 5 litros;43;20;2.15;1;4;5
147;Saco plastico lixo 40 litros reforçada;88;20;4.4;1;4;4
148;Saco plastico lixo 100 litros reforçada;115;20;5.75;1;4;4
149;detergente liguido neutro galao 5 litros;56;20;2.8;1;4;5
150;bucha amarela;65;20;3.25;1;4;5
151;toalha de papel branco luxo;37;20;1.85;1;4;4
152;Alcool Etilico 70% ;20;20;1.0;1;4;5
153;touca descartavel c/100;122;20;6.1;1;4;4
154;desinfetante galao 5 litros;37;20;1.85;1;4;5
155;pano de chao 55x75 cm;21;20;1.05;1;4;5
156;sabonete liquido galao 5L;91;20;4.55;1;4;5
157;copo descartavel 50ml;78;20;3.9;1;4;4
158;alcool gel 5 litros;85;20;4.25;1;4;5
159;Sabão em pó;49;20;2.45;1;4;2
160;Confort;102;20;5.1;1;4;5
161;Bom bril;181;20;9.05;1;4;5
162;Bucha estrela;60;20;3.0;1;4;5
163;Sacola cozinha;107;20;5.35;1;4;4
164;Luva volk laranja;117;20;5.85;1;4;5
165;Veja multiuso;84;20;4.2;1;4;5
166;Rolo perflex 20x300;55;20;2.75;1;4;5
167;Sacola transparente 40x60 espessura 10;17;20;0.85;1;4;4
168;Vassoura ;81;20;4.05;1;4;5
169;rodo;94;20;4.7;1;4;5
170;Escova lava roupa;120;20;6.0;1;4;5
